Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1638,tt0465580,2026-09-06,2026-09-06,,"Push","Push",https://www.imdb.com/title/tt0465580/,Film,6.1,111,2009,"Azione, Fantascienza, Thriller",120131,2009-03-27,"Paul McGuigan",,
1639,tt0109040,2026-09-06,2026-09-06,,"Ace Ventura - L'acchiappanimali","Ace Ventura: Pet Detective",https://www.imdb.com/title/tt0109040/,Film,6.9,86,1994,"Commedia",358135,1994-08-12,"Tom Shadyac",,
1640,tt0112281,2026-09-06,2026-09-06,,"Ace Ventura - Missione Africa","Ace Ventura: When Nature Calls",https://www.imdb.com/title/tt0112281/,Film,6.4,90,1995,"Avventura, Commedia, Poliziesco",251547,1995-12-30,"Steve Oedekerk",,
1641,tt7638348,2026-09-06,2026-09-06,,"Quello che non ti uccide","Boss Level",https://www.imdb.com/title/tt7638348/,Film,6.8,100,2020,"Azione, Avventura, Commedia, Giallo, Fantascienza, Thriller",91892,2021-03-05,"Joe Carnahan",,
1642,tt4062536,2026-09-06,2026-09-06,,"Green Room","Green Room",https://www.imdb.com/title/tt4062536/,Film,6.9,95,2015,"Horror, Thriller",155642,2017-02-11,"Jeremy Saulnier",,
1643,tt0264508,2026-09-06,2026-09-06,,"Dagon - La mutazione del male","Dagon",https://www.imdb.com/title/tt0264508/,Film,6.2,98,2001,"Fantastico, Horror, Giallo",23622,2001-10-31,"Stuart Gordon",,
1644,tt3717490,2026-09-06,2026-09-06,,"Power Rangers","Power Rangers",https://www.imdb.com/title/tt3717490/,Film,5.9,124,2017,"Azione, Avventura, Fantastico, Fantascienza",120089,2017-04-06,"Dean Israelite",,
1645,tt5442430,2026-09-06,2026-09-06,,"Life: Non oltrepassare il limite","Life",https://www.imdb.com/title/tt5442430/,Film,6.6,104,2017,"Horror, Fantascienza, Thriller",280204,2017-03-23,"Daniel Espinosa",,
1646,tt7914416,2026-09-06,2026-09-06,,"Zombie contro zombie","Kamera o tomeru na!",https://www.imdb.com/title/tt7914416/,Film,7.6,96,2017,"Commedia, Drammatico, Horror",36252,2018-11-07,"Shin'ichirō Ueda",,
1647,tt1219827,2026-09-06,2026-09-06,,"Ghost in the Shell","Ghost in the Shell",https://www.imdb.com/title/tt1219827/,Film,6.3,107,2017,"Azione, Poliziesco, Drammatico, Giallo, Fantascienza, Thriller",241612,2017-03-30,"Rupert Sanders",,
1648,tt0159611,2026-09-06,2026-09-06,,"Le nuove comiche","Le nuove comiche",https://www.imdb.com/title/tt0159611/,Film,4.8,102,1994,"Commedia",810,1994-10-14,"Neri Parenti",,
1649,tt0380599,2026-09-06,2026-09-06,,"Oliver Twist","Oliver Twist",https://www.imdb.com/title/tt0380599/,Film,6.8,130,2005,"Poliziesco, Drammatico",35869,2005-10-21,"Roman Polanski",,
1650,tt1754656,2026-09-06,2026-09-06,,"Il piccolo principe","Le petit prince",https://www.imdb.com/title/tt1754656/,Film,7.6,108,2015,"Animazione, Avventura, Commedia, Drammatico, Per famiglie, Fantastico, Fantascienza",72368,2016-01-01,"Mark Osborne",,
1651,tt0479997,2026-09-06,2026-09-06,,"L'ultimo dei Templari","Season of the Witch",https://www.imdb.com/title/tt0479997/,Film,5.4,95,2011,"Azione, Avventura, Fantastico",103494,2011-06-15,"Dominic Sena",,
1652,tt0420251,2026-09-06,2026-09-06,,"Three... Extremes","Sam gang 2",https://www.imdb.com/title/tt0420251/,Film,6.9,121,2004,"Horror",22101,2005-07-29,"Fruit Chan, Park Chan-wook, Takashi Miike",,
1653,tt0443435,2026-09-06,2026-09-06,,"Autopsy","Autopsy",https://www.imdb.com/title/tt0443435/,Film,5.0,84,2008,"Horror, Giallo, Thriller",7860,2009-06-25,"Adam Gierasch",,
1654,tt1179891,2026-09-06,2026-09-06,,"San Valentino di sangue","My Bloody Valentine",https://www.imdb.com/title/tt1179891/,Film,5.5,101,2009,"Horror, Giallo, Thriller",65745,2009-05-08,"Patrick Lussier",,
1655,tt2450186,2026-09-06,2026-09-06,,"V/H/S/2","V/H/S/2",https://www.imdb.com/title/tt2450186/,Film,6.0,96,2013,"Horror, Thriller",49181,2013-06-06,"Simon Barrett, Jason Eisener, Gareth Evans, Gregg Hale, Eduardo Sánchez, Timo Tjahjanto, Adam Wingard",,
1656,tt2105044,2026-09-06,2026-09-06,,"V/H/S","V/H/S",https://www.imdb.com/title/tt2105044/,Film,5.8,116,2012,"Fantastico, Horror, Giallo, Thriller",76371,2012-09-06,"Matt Bettinelli-Olpin, David Bruckner, Tyler Gillett, Justin Martinez, Glenn McQuaid, Radio Silence, Joe Swanberg, Chad Villella, Ti West, Adam Wingard",,
